WATTISHAM 
NGR = 6025E  2514N
Altitude = 89 metres
Latitude = 52:12N Longitude = 0:96E
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
SOUTHAMPTON  OCEANOGRAPHY CENTRE 
NGR = 4426E  1104N
Altitude = 26 metres
Latitude = 50:89N Longitude = 1:39W
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,26.3,12.2,
02/06/2020,26.9,13.8,
03/06/2020,18.2,14.9,
04/06/2020,16.6,10.6,
05/06/2020,17.2,11.1,
06/06/2020,16.0,7.9,
07/06/2020,20.6,9.0,
08/06/2020,18.2,10.6,
09/06/2020,16.9,12.3,
10/06/2020,15.8,11.9,
11/06/2020,19.6,11.7,
12/06/2020,20.2,13.1,
13/06/2020,20.2,12.3,
14/06/2020,20.8,14.0,
15/06/2020,22.3,12.5,
16/06/2020,21.5,14.2,
17/06/2020,22.2,11.4,
18/06/2020,17.1,14.9,
19/06/2020,17.7,13.5,
20/06/2020,19.3,13.5,
21/06/2020,20.4,14.1,
22/06/2020,19.5,11.4,
23/06/2020,23.9,14.0,
24/06/2020,29.2,16.1,
25/06/2020,26.5,20.7,
26/06/2020,21.6,18.9,
27/06/2020,18.3,15.1,
28/06/2020,18.4,12.5,
29/06/2020,18.1,12.6,
30/06/2020,17.4,13.4,


RHYL NO 2 
NGR = 2994E  3746N
Altitude = 77 metres
Latitude = 53:26N Longitude = 3:51W
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,21.5,10.3,
02/06/2020,22.3,10.1,
03/06/2020,12.2,11.6,
04/06/2020,14.3,7.2,
05/06/2020,13.2,9.7,
06/06/2020,13.6,6.9,
07/06/2020,15.9,10.3,
08/06/2020,15.1,10.5,
09/06/2020,15.9,10.4,
10/06/2020,16.1,10.1,
11/06/2020,15.8,11.1,
12/06/2020,17.7,10.7,
13/06/2020,23.2,13.4,
14/06/2020,20.7,13.4,
15/06/2020,19.5,11.9,
16/06/2020,19.7,14.2,
17/06/2020,22.1,14.2,
18/06/2020,16.5,11.9,
19/06/2020,17.1,11.7,
20/06/2020,21.3,11.8,
21/06/2020,18.3,12.3,
22/06/2020,19.2,10.4,
23/06/2020,23.8,15.5,
24/06/2020,24.8,13.0,
25/06/2020,28.8,14.2,
26/06/2020,25.0,17.1,
27/06/2020,18.5,13.7,
28/06/2020,15.7,11.5,
29/06/2020,16.3,11.0,
30/06/2020,17.2,11.7,


ROSTHERNE NO 2 
NGR = 3746E  3848N
Altitude = 35 metres
Latitude = 53:36N Longitude = 2:38W
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,24.4,6.5,
02/06/2020,25.3,5.7,
03/06/2020,13.0,12.0,
04/06/2020,15.1,6.1,
05/06/2020,15.3,8.2,
06/06/2020,16.2,7.1,
07/06/2020,17.2,9.4,
08/06/2020,17.2,7.1,
09/06/2020,18.5,8.7,
10/06/2020,15.5,9.7,
11/06/2020,16.8,11.4,
12/06/2020,18.6,11.2,
13/06/2020,23.8,13.2,
14/06/2020,23.6,11.4,
15/06/2020,23.6,10.7,
16/06/2020,19.7,13.9,
17/06/2020,22.2,11.2,
18/06/2020,15.3,12.8,
19/06/2020,17.3,12.4,
20/06/2020,21.6,8.9,
21/06/2020,20.2,12.2,
22/06/2020,21.5,8.2,
23/06/2020,24.4,15.4,
24/06/2020,28.4,12.2,
25/06/2020,28.9,15.2,
26/06/2020,27.1,18.0,
27/06/2020,19.7,13.5,
28/06/2020,16.6,11.0,
29/06/2020,14.0,11.3,
30/06/2020,19.0,12.1,


